deal_id,window_event,window_event_date,target,target_ticker,acquirer,sponsor,deal_type,consideration_type,offer_terms,headline_value,value_basis,premium,announce_date,announce_known_at_utc,status_2026_09_24,resolution_date,expected_close,sector,geography,sec_cik,sec_announce_accession,sec_resolution_accession,verification,sources,notes
2026Q3-011,announced,2026-08-03,Lantheus Holdings,LNTH,Curium US,,strategic,cash + CVR,$102.50/sh cash + CVR up to $12.00 (commercial milestones through 2030),up to ~$8.0B,total incl. CVR,,2026-08-03,2026-08-03T12:37:46Z,pending,,H1 2027,radiopharma / diagnostics,US,1521036,0001193125-26-331138,,sec_confirmed,https://investor.lantheus.com/news-releases/news-release-details/curium-announces-definitive-agreement-merge-lantheus,known_at = first deal 8-K (7.01/8.01) 12:37Z; 1.01 8-K accepted 2026-08-04T01:00Z. Some roundups cite $7.5B (cash-only).
2026Q3-012,announced,2026-08-03,Integer Holdings,ITGR,KKR affiliate,KKR,take-private (LBO),cash,$127.00/sh cash,~$5.7B EV,enterprise,51.8% to 2026-04-29 (pre-strategic-review); 28.8% to 30-day VWAP,2026-08-03,2026-08-03T21:14:02Z,pending,,by end-2026,medtech contract manufacturing,US,1114483,0000950103-26-011881,,sec_confirmed,https://investor.integer.net/news-events/press-releases/news-details/2026/Integer-to-Be-Acquired-by-KKR-in-Transaction-Valued-at-Approximately-5-7-Billion/default.aspx,known_at = first DEFA14A; 1.01 8-K accepted 2026-08-04T20:32Z.
2026Q3-013,announced,2026-08-04,SEGRO plc,SGRO.L,Prologis,,strategic (Rule 2.7),stock (partial cash alternative),"0.0920 PLD sh per SGRO sh; partial cash alt = 258p + 0.0690 PLD sh (at fixed 1,031.7p)",~GBP14B (~$18.8B per roundups),equity,,2026-08-04,,pending,,H1 2027,logistics REIT,UK,,,,press_multi,https://www.prologis.com/insights-news/press-releases/prologis-announces-recommended-acquisition-segro-plc; https://www.slaughterandmay.com/recent-work/advising-segro-on-the-recommended-share-offer-by-prologis/,Best and final after three proposals. SGRO may pay 2026 interim (<=10.14p) and final (<=22.56p) dividends.
2026Q3-014,announced,2026-08-06,easyJet plc,EZJ.L,Apollo (Eagle Bidco),Apollo,take-private (Rule 2.7 scheme),cash (unlisted-share alternative),715p/sh cash,~GBP5.7B (~$7.7B),equity,81% to 394p close 2026-05-28 (pre-offer period),2026-08-06,,pending,,by end-Mar 2027,airlines,UK,,,,press_multi,https://www.cnbc.com/2026/08/06/easyjet-apollo-castlelake-private-equity-budget-airline.html; https://www.easyjet.com/en/news/airline/article/acquisition-of-easyjet-updates,Castlelake (final 690p) withdrew 2026-08-06. Scheme document deadline extended to 2026-10-15.
2026Q3-015,announced,2026-08-06,Beazer Homes USA,BZH,Dream Finders Homes,,strategic (contested -> agreed),cash,$33.50/sh cash,~$2.2B,enterprise,,2026-08-06,2026-08-07T10:10:15Z,pending,,Q4 2026,homebuilding,US,915840,0001104659-26-092299,,sec_confirmed,https://investors.dreamfindershomes.com/news-events/press-releases/detail/65/dream-finders-homes-to-acquire-beazer-homes-creating,Agreement dated 2026-08-06; $31.3M target break fee; DEFM14A 2026-09-15. OPEN QUESTION: new 8-K item 1.01 accepted 2026-09-18T20:05Z (acc 0001104659-26-108933) - content unreadable here (www.sec.gov blocked); may be an amendment.
2026Q3-016,announced,2026-08-10,Bowman Consulting Group,BWMN,Bernhard Capital Partners,Bernhard Capital Partners,take-private (LBO),cash,$43.00/sh cash,~$1.0B EV,enterprise,58% to 2026-08-07 unaffected close; 57% to 30-day VWAP,2026-08-10,2026-08-10T13:21:17Z,pending,,Q4 2026,engineering / infrastructure services,US,1847590,0001193125-26-341431,,sec_confirmed,https://investors.bowman.com/news-releases/news-release-details/bowman-consulting-group-enters-definitive-agreement-be-acquired; https://bowman.com/news/bowman-consulting-group-announces-expiration-of-go-shop-period,"35-day go-shop expired 2026-09-13, 76 parties contacted, no proposals. Tracked theme #1 (grid/electrical services)."
2026Q3-017,proposal,2026-08-13,Cleanaway Waste Management,CWY.AX,EQT Infrastructure,EQT,take-private proposal (non-binding),cash,A$3.13/sh cash (indicative),~A$9.4B EV (Bloomberg: ~$4.9B equity),enterprise,32.1% to A$2.37 last close,2026-08-13,,non-binding / exclusivity,,,waste management,Australia,,,,press_multi,https://www.bloomberg.com/news/articles/2026-08-12/eqt-offers-to-buy-australia-s-cleanaway-waste-for-4-9-billion; https://www.fool.com.au/2026/09/14/cleanaway-waste-management-provides-eqt-bid-update/,Board intends to recommend at >=A$3.13 subject to a scheme implementation deed; 9-week exclusivity; no binding deed as of mid-Sep. Tracked theme #5-adjacent (mandated recurring services).
2026Q3-018,announced,2026-08-13,Accelerant Holdings,ARX,Thoma Bravo,Thoma Bravo,take-private (LBO),cash,$20.25/sh cash (Class A and B),>$4B EV,enterprise,49% to 2026-08-12 close,2026-08-13,2026-08-13T11:59:29Z,pending,,H1 2027,insurance risk exchange / insurtech,US,1997350,0001193125-26-349973,,sec_confirmed,https://investor.accelerant.ai/news/news-details/2026/Accelerant-Enters-into-Definitive-Agreement-to-be-Acquired-by-Thoma-Bravo/default.aspx,6% p.a. ticking fee if insurance-regulatory approvals delay close. known_at = first DEFA14A; 1.01 8-K accepted 2026-08-14T01:14Z.
2026Q3-019,blocked,2026-08-14,A-Paint Topco (Liquid Nails),,Henkel,,strategic,cash,,$725M,purchase price,,2025 (FTC suit Dec 2025),,blocked (permanent injunction),2026-08-14,,construction adhesives,US,,,,press_multi,https://www.cooley.com/news/insight/2026/2026-08-21-ftc-court-win-blocks-henkels-acquisition-of-liquid-nails; https://natlawreview.com/article/ftcs-new-litigation-strategy-sticks-court-blocks-henkels-725m-bid-for-liquid-nails,BROKEN (regulatory). SDNY permanent injunction after 7-day trial - first win of FTC's federal-court-only strategy. Formal abandonment / appeal status n/d - GAP.
2026Q3-020,announced,2026-08-14,Harte Hanks,HHS,Star Equity Holdings,,strategic,cash + preferred stock,$5.00/sh (cash + Star preferred),$38.4M,equity,,2026-08-14,,pending,,before end-2026,marketing services,US,45919,0000045919-26-000009,,sec_confirmed,https://www.globenewswire.com/news-release/2026/08/14/3345329/0/en/star-equity-holdings-enters-into-merger-agreement-to-acquire-harte-hanks.html,Press release 2026-08-14; Harte Hanks 1.01 8-K accepted 2026-08-19T20:17Z. Cash/preferred split n/d.
2026Q3-021,announced,2026-08-20,Ambros Therapeutics (private),,Werewolf Therapeutics (HOWL),,reverse merger + $150M PIPE,stock,,Ambros $500M pre-money; Werewolf $47.5M,pre-money,,2026-08-21,2026-08-20T20:06:14Z,pending,,by Q1 2027,biotech,US,1785530,0001193125-26-359185,,sec_confirmed,https://www.globenewswire.com/news-release/2026/08/21/3349041/0/en/werewolf-therapeutics-and-ambros-therapeutics-announce-merger-agreement-and-concurrent-oversubscribed-150-million-private-placement.html,"Pro forma: Werewolf holders ~6.8%, Ambros ~71.7%, PIPE ~21.5%. Renamed Ambros (AMBX)."
2026Q3-022,announced,2026-08-26,First Eagle Investments (private),,Victory Capital (VCTR),Genstar Capital (seller),strategic (sponsor exit),cash + stock,~$4.4B cash + ~$2.0B VCTR stock + $575M notes assumed,~$7.0B,total consideration,,2026-08-26,,pending,,,asset management,US,,,,press_multi,https://ir.vcm.com/news/news-details/2026/Victory-Capital-to-Acquire-First-Eagle-Investments-Creating-a-571-Billion-Diversified-Global-Asset-Manager/default.aspx; https://www.bloomberg.com/news/articles/2026-08-26/victory-capital-agrees-to-buy-first-eagle-in-7-billion-deal,"Some roundups cite $6.4B (excludes assumed notes). Genstar ~14.6% of VCTR post-close, voting capped 4.9%."
2026Q3-023,milestone (offer launched),2026-08-27,Delivery Hero,DHER.DE,Uber,,strategic tender offer,cash,EUR41.50/sh cash,$14.8B equity (100%),equity,~108% to 2026-05-08 unaffected close,2026-05 (offer confirmed 2026-05-23),,pending,,settlement H2 2027,food delivery,Germany,,,,press_multi,https://investor.uber.com/news-events/news/press-release-details/2026/Uber-Publishes-Offer-Document-for-its-Takeover-Offer-for-Delivery-Hero/default.aspx; https://www.cnbc.com/2026/05/23/delivery-hero-confirms-takeover-offer-from-uber.html,Acceptance period 2026-08-27 to 2026-11-05; boards recommended 2026-09-02; Prosus irrevocable (~17%). Announced pre-window.
2026Q3-024,announced,2026-08-31,USI Insurance Services (private),,Aon,KKR (seller),strategic (sponsor exit),cash,,$17.0B incl. net debt,enterprise,,2026-08-31,,pending,,Q4 2026,insurance brokerage,US,,,,press_multi,https://www.insurancejournal.com/news/national/2026/08/31/883334.htm; https://www.bloomberg.com/news/articles/2026-08-31/aon-agrees-to-buy-usi-insurance-from-kkr-in-17-billion-deal,Signed 2026-08-30; debt-funded; $395M run-rate synergies; KKR ~3.4x balance-sheet MOIC (since 2017).
2026Q3-025,announced,2026-08,OpenRouter (private),,Stripe,,strategic,,,>$8B (reported valuation),,,,,n/d,,,AI infrastructure,US,,,,reported_only,"(FactSet/Intellizence August 2026 roundups, via search summary)",Single secondary citation - VERIFY.
2026Q3-026,announced,2026-08,Ambassador Theatre Group,,MARI Group,,n/d,,,~$6B (reported),,,,,n/d,,,live entertainment,UK,,,,reported_only,"(FactSet/Intellizence August 2026 roundups, via search summary)",Single secondary citation - VERIFY.
2026Q3-027,closed,2026-08-04,Electronic Arts,EA,PIF / Silver Lake / Affinity Partners,Silver Lake; Affinity Partners; PIF,take-private (LBO),cash,$210.00/sh cash,~$55B,enterprise,,2025-09-29,,closed,2026-08-04,,video games,US,712515,,0001140361-26-031157,sec_confirmed,https://www.ea.com/news/ea-announces-completion-of-acquisition,Largest LBO on record. 8-K 2.01 + Form 25-NSE 2026-08-04; 15-12G 2026-08-14.
2026Q3-028,announced,2026-09-02,Birch Permian Holdings (private),,Diversified Energy,Elliott (seller affiliates),strategic (sponsor exit),,,~$1.8B,,,2026-09-02,,pending,,,upstream oil & gas (Permian),US,,,,press_single,https://www.ogj.com/general-interest/companies/news/55402758/diversified-energy-to-acquire-birch-permian-in-18-billion-deal,
2026Q3-029,announced,2026-09-02,Hugging Face (private),,Nvidia,,strategic,cash + equity retention,~$11.9B purchase price + up to ~$1.0B equity retention,~$12.9B,total incl. retention,,2026-09-02,,pending,,H1 2027,AI platform,US,1045810,,,press_multi,https://blogs.nvidia.com/blog/nvidia-to-acquire-hugging-face/; https://www.cnbc.com/2026/09/03/nvidia-agrees-to-buy-hugging-face-for-almost-13-billion-ai-expansion.html,Reports from 2026-08-27; definitive agreement per Nvidia 8-K dated 2026-09-02. Some roundups file it under August. Full EU/US/UK review likely.
2026Q3-030,announced,2026-09-03,Lincoln Bancorp (private),,Equity Bancshares (EQBK),,bank merger,cash + stock,,$123.8M,deal value,,2026-09-03,,pending,,Q4 2026,banking (US community),US,,,,press_multi,https://www.equitybank.com/articles/equity-bancshares-inc-and-lincoln-bancorp-announce-plans-to-merge/; http://bankingjournal.aba.com/2026/09/proposed-bank-acquisitions-announced-in-three-states/,Target ~$1.7B assets.
2026Q3-031,announced,2026-09-08,Eagle Financial Services,EFSI,John Marshall Bancorp (JMSB),,bank merger,stock,,$253M,deal value,130% of tangible book (price/TBV),2026-09-08,2026-09-08T12:45:26Z,pending,,Q1 2027,banking (US community),US,880641,0001193125-26-384457,,sec_confirmed,http://bankingjournal.aba.com/2026/09/proposed-bank-acquisitions-announced-in-three-states/,Exchange ratio n/d - GAP. Target ~$1.8B assets (Bank of Clarke).
2026Q3-032,announced,2026-09-09,Centerspace,CSR,Independence Realty Trust (IRT),,strategic (REIT all-stock),stock,3.800 IRT sh per CSR sh (fixed),~$2.14B (combined EV ~$8.1B),deal value / combined EV,,2026-09-09,2026-09-09T10:49:06Z,pending,,as early as end-Q4 2026,multifamily REIT,US,798359,0001140361-26-035986,,sec_confirmed,https://www.businesswire.com/news/home/20260909840602/en/Independence-Realty-Trust-and-Centerspace-to-Merge-in-%248.1-Billion-Combination; https://www.insidearbitrage.com/2026/09/independence-realty-trust-to-acquire-centerspace-for-2-14-billion/,Pro forma IRT ~78% / CSR ~22%. OPEN QUESTION: new 8-K item 1.01 accepted 2026-09-23T21:16Z (acc 0001140361-26-037453) - content unreadable here; possibly an amendment.
2026Q3-033,announced,2026-09-10,Convergent Genomics (private),,Veracyte (VCYT),,strategic,,,,,,2026-09-10,,n/d,,,diagnostics,US,,,,press_single,https://www.sec.gov/Archives/edgar/data/0001384101/000138410126000049/vcyt-20260910.htm,Terms not captured - GAP.
2026Q3-034,announced,2026-09-14,The Baldwin Group,BWIN,Sequence Holdings + Dell Family Office,Sequence Holdings; DFO Management,take-private,cash,$32.50/sh cash,~$7.7B,enterprise (reported),88% to 2026-06-17 unaffected close (reported),2026-09-14,2026-09-14T13:19:14Z,pending,,,insurance distribution,US,1781755,0000950103-26-013874,,sec_confirmed,https://baldwin.com/news/the-baldwin-group-to-go-private-through-majority-investment-by-sequence-holdings-and-dell-family-office/; https://www.insidearbitrage.com/2026/09/sequence-holdings-and-dell-family-office-to-take-the-baldwin-group-private-for-7-70-billion/,Expected close n/d - GAP. Shareholder-fairness investigations announced.
2026Q3-035,announced,2026-09-15,Atome Financial (majority stake),,Grab Holdings,,strategic,,,,,,2026-09-15,,n/d,,,fintech,Southeast Asia,,,,press_single,https://www.sec.gov/Archives/edgar/data/0001855612/000185561226000133/a6-kxatometransactionannou.htm,Terms not captured - GAP.
2026Q3-036,announced,2026-09-15,Tallgrass crude assets,,Enbridge,,asset acquisition,cash,,$2.55B,,,2026-09 (mid),,n/d,,,midstream,US,,,,press_single,https://okenergytoday.com/2026/09/tallgrass-energy-sold-in-2-5-billion-deal-to-enbridge/,Exact date and status n/d - VERIFY.
2026Q3-037,announced,2026-09-18,Mistras Group,MG,H.I.G. Capital (Athena Purchaser),H.I.G. Capital,take-private (LBO),cash,$20.35/sh cash,~$866M EV,enterprise,~8% / ~13% to 30- / 90-day VWAP,2026-09-18,2026-09-18T20:05:33Z,pending,,late 2026 / early 2027,industrial asset-integrity testing,US,1436126,0001140361-26-037107,,sec_confirmed,https://www.globenewswire.com/news-release/2026/09/18/3364639/12235/en/mistras-group-inc-enters-into-definitive-agreement-to-be-acquired-by-h-i-g-capital-for-20-35-per-share-in-cash.html,Agreement dated 2026-09-17. Thin premium vs VWAP - watch for holder pushback. Tracked theme #5-adjacent (mandated inspection).
2026Q3-038,announced,2026-09-18,WakeMed (nonprofit),,Atrium Health (Advocate Health),,nonprofit health-system combination,,,,,,2026-09-18,,planned,,,health systems,US,,,,press_single,https://healthtechmagazine.net/article/2026/09/mergers-and-acquisitions-overview-notable-healthcare-ma-activity-2026,No price (nonprofit).
2026Q3-039,announced,2026-09-19,Kelsian SeaLink tourism portfolio,,Journey Beyond,,carve-out,,,,,,2026-09-19,,n/d,,,tourism,Australia,,,,press_single,"(search summary, 2026-09-19)",Tracked theme #3 (carve-outs). Terms not captured - GAP.
2026Q3-040,announced,2026-09-20,Dianomi,,Taboola,,strategic,,,,,,2026-09-20,,n/d,,,adtech,UK,,,,press_single,"(search summary, 2026-09-20)",Terms not captured - GAP.
2026Q3-041,announced,2026-09-20,ITM Isotope Technologies Munich (private),,Telix Pharmaceuticals,,strategic,cash (+ milestones),$1.65B upfront (cash-free/debt-free) + up to $0.70B milestones,up to $2.35B,total incl. milestones,,2026-09-20,,pending,,,radiopharma,Germany / Australia,,,,press_multi,https://www.bloomberg.com/news/articles/2026-09-20/telix-to-buy-isotope-maker-itm-in-deal-worth-up-to-2-35-billion,Milestones tied to ITM-11 approvals and sales.
2026Q3-042,announced,2026-09-21,Priority Technology Holdings,PRTH,Investor group led by CEO Thomas Priore,Searchlight Capital (equity),take-private (MBO),cash,$8.05/sh cash,~$1.6B EV,enterprise,38% to 2026-09-18 close; 65% to 2025-11-07 (pre-proposal),2026-09-21,2026-09-21T11:40:34Z,pending,,H1 2027,payments,US,1653558,0001213900-26-101651,,sec_confirmed,https://www.businesswire.com/news/home/20260920050170/en/Priority-Technology-Holdings-Inc.-Announces-Definitive-Agreement-with-Investor-Group-Led-by-Chairman-and-CEO-Thomas-Priore-to-Take-Company-Private,Special-committee process. Several roundups say 2026-09-22; SEC acceptance is 2026-09-21 11:40 UTC.
2026Q3-043,terminated,2026-09-20,Carbonium Core,,TOMI Environmental Solutions (TOMZ),,merger,,,,,,2026-06-28,,terminated,2026-09-20,,environmental tech,US,,,,press_multi,https://www.globenewswire.com/news-release/2026/09/21/3365883/34752/en/tomi-environmental-solutions-announces-mutual-termination-of-merger-agreement-with-carbonium-core.html,BROKEN DEAL. Mutual termination approved by TOMI board 2026-09-20; announced 2026-09-21. Micro-cap.
2026Q3-044,reported (talks),2026-09-24,Kobayashi Pharmaceutical,,CVC + Nippon Sangyo Suishin Kiko (reported),CVC,take-private talks,,,>JPY500B (~$3.2B),,,,,talks only,,,consumer health,Japan,,,,reported_only,https://www.bloomberg.com/news/articles/2026-09-24/kobayashi-in-3-2-billion-buyout-talks-after-red-yeast-scandal,Not a signed deal.
2026Q3-045,milestone (holder vote),2026-09-23,Bio-Techne,TECH,Merck KGaA,,strategic,cash,$73.00/sh cash,~$11.3B EV,enterprise,,2026-06-25,2026-06-25T12:21:30Z,pending (shareholders approved 2026-09-23),,late 2026 / early 2027,life-science tools,US,842023,0001999371-26-013527,,sec_confirmed,https://investors.bio-techne.com/news/detail/535/merck-kgaa-darmstadt-germany-agrees-to-acquire-bio-techne-strengthening-leadership-position-in-fast-growing-life-sciences-markets,Announced pre-window (some roundups list it under August). Remaining: regulatory approvals.
2026Q3-046,closed,2026-09-23,Theravance Biopharma,TBPH,Zymeworks,,strategic,cash + CVR,"$17.00/sh cash + CVR (80% of ampreloxetine net proceeds, 10y)",~$929M,equity,,2026-06-29,2026-06-29T10:30:58Z,closed,2026-09-23,,biopharma,US,1583107,0001104659-26-078453,0001104659-26-109979,sec_confirmed,https://investor.theravance.com/news-releases/news-release-details/theravance-biopharma-enters-definitive-agreement-be-acquired,Closed: 8-K 2.01 + Form 25-NSE 2026-09-23.
2026Q3-047,milestone (state AG settlement),2026-09-21,Warner Bros. Discovery,WBD,Paramount Skydance,,strategic,cash,$31.00/sh cash (+$0.25/qtr ticking fee after 2026-09-30),~$110-111B,enterprise,,pre-window (n/d exact),,pending (close expected ~early Oct 2026),,,media,US,1437107,0001193125-26-256559,,press_multi,https://www.cnbc.com/2026/09/21/paramount-reaches-settlement-over-warner-bros-merger.html; https://www.cnn.com/2026/09/21/media/paramount-wbd-settlement-cnn-ellison-bonta-lawsuit,"12-state AG suit (filed July) settled 2026-09-21: 30+ films/yr, studios run separately, news independence board, no divestitures. HSR expired; EC cleared July. Accession = latest 8-K 1.01 (2026-06-04), not necessarily the original agreement."
2026Q3-048,pending (no in-window event found),,Intertek Group,ITRK.L,EQT (Isotope Bidco),EQT,take-private (Rule 2.7),cash,GBP60.00 cash + 107.7p FY25 final dividend,~GBP9.3B equity / GBP10.7B EV,equity + EV,,2026-06-18,,pending,,,"testing, inspection & certification",UK,,,,press_multi,https://www.intertek.com/siteassets/investors/offer/rule-2.7-announcement-dated-18-june-2026.pdf,Carried as open pending deal; completion timing n/d - GAP.
2026Q3-049,milestone (go-shop expired),2026-09-13,Bowman Consulting Group,BWMN,Bernhard Capital Partners,,,,,,,,,,pending,,,,,,,,press_multi,https://bowman.com/news/bowman-consulting-group-announces-expiration-of-go-shop-period,Milestone row for 2026Q3-016 (no superior proposal).
