canonical_deal_id,deal_kind,target,target_ticker,acquirer,sponsor,deal_type,consideration_type,sector,geography,sec_cik,id_basis,source_register_rows,normalization_flags
DEAL-MG-HIG-2026,signed_definitive,Mistras Group,MG,H.I.G. Capital (Athena Purchaser),H.I.G. Capital,take-private (LBO),cash,industrial asset-integrity testing,US,1436126,agreement_year,2026Q3-037,
DEAL-MKTX-ICE-2026,signed_definitive,MarketAxess,MKTX,Intercontinental Exchange,,strategic,cash,market structure / fixed-income trading,US,1278021,agreement_year,2026Q3-007,
DEAL-MOMENTUM-WMB-2026,signed_definitive,Momentum Midstream (private),,Williams Companies (WMB),,strategic,cash + stock,midstream (Haynesville gas),US,107263,agreement_year,2026Q3-052,
DEAL-NATL-BCO-2026,signed_definitive,NCR Atleos,NATL,Brink's (BCO),,strategic,cash + stock,ATM / cash infrastructure,US,1974138,agreement_year,2026Q3-057,
DEAL-OVO-EON-2026,signed_definitive,OVO Energy (retail business),,E.ON,,strategic,,energy retail,UK,,agreement_year,2026Q3-060,
DEAL-PRTH-PRIOREGRP-2026,signed_definitive,Priority Technology Holdings,PRTH,Investor group led by CEO Thomas Priore,Searchlight Capital (equity),take-private (MBO),cash,payments,US,1653558,agreement_year,2026Q3-042,
DEAL-RGR-BERETTA-2026,signed_definitive,"Sturm, Ruger & Co. (minority stake)",RGR,Beretta Holding,,minority stock purchase,,firearms,US,95029,first_event_year,2026Q3-064,id_year_from_first_event
DEAL-SDR-NUVEEN-2026,signed_definitive,Schroders plc,SDR.L,Nuveen,,strategic (scheme),,asset management,UK,,agreement_year,2026Q3-056,
DEAL-SEALINK-JOURNEYB-2026,signed_definitive,Kelsian SeaLink tourism portfolio,,Journey Beyond,,carve-out,,tourism,Australia,,agreement_year,2026Q3-039,
DEAL-SGRO-PLD-2026,signed_definitive,SEGRO plc,SGRO.L,Prologis,,strategic (Rule 2.7),stock (partial cash alternative),logistics REIT,UK,,agreement_year,2026Q3-013,
DEAL-SKYT-IONQ-2026,signed_definitive,SkyWater Technology,SKYT,IonQ,,strategic,mixed,semiconductor foundry / quantum,US,1819974,first_event_year,2026Q3-008,id_year_from_first_event
DEAL-SSTK-GETY-2025,signed_definitive,Shutterstock,SSTK,Getty Images Holdings (GETY),,strategic merger,mixed (cash/stock election),stock imagery / content licensing,US / UK,1549346,agreement_year,2026Q3-050,
DEAL-TALLGRASS-ENB-2026,signed_definitive,Tallgrass crude assets,,Enbridge,,asset acquisition,cash,midstream,US,,agreement_year,2026Q3-036,
DEAL-TBPH-ZYME-2026,signed_definitive,Theravance Biopharma,TBPH,Zymeworks,,strategic,cash + CVR,biopharma,US,1583107,agreement_year,2026Q3-046,
DEAL-TECH-MERCKKGAA-2026,signed_definitive,Bio-Techne,TECH,Merck KGaA,,strategic,cash,life-science tools,US,842023,agreement_year,2026Q3-045,
DEAL-TKE-KONE-2026,signed_definitive,TK Elevator,,KONE,Vertical Topco I S.A. (seller; jointly controlled by Advent and Cinven),strategic (sponsor exit),cash + stock,elevators & escalators,Europe,,agreement_year,2026Q3-059,
DEAL-ULTRAMAR-LMT-2026,signed_definitive,Ultra Maritime,,Lockheed Martin,Advent International (seller),strategic (sponsor exit),cash,defense - undersea/ASW,US,,agreement_year,2026Q3-003,
DEAL-ULVRFOODS-MKC-2026,signed_definitive,Unilever Foods (carve-out),,McCormick (MKC),,Reverse Morris Trust,stock + $15.7B cash to Unilever,food / flavours,Global,63754,agreement_year,2026Q3-058,
DEAL-USI-AON-2026,signed_definitive,USI Insurance Services (private),,Aon,KKR (seller),strategic (sponsor exit),cash,insurance brokerage,US,,agreement_year,2026Q3-024,
DEAL-WBD-PSKY-2026,signed_definitive,Warner Bros. Discovery,WBD,Paramount Skydance,,strategic,cash,media,US,1437107,agreement_year,2026Q3-047,
DEAL-WILDFIRE-MGY-2026,signed_definitive,WildFire Energy (private),,Magnolia Oil & Gas (MGY),,strategic,stock + debt assumption + cash,upstream oil & gas (Eagle Ford),US,1698990,agreement_year,2026Q3-004,
PROP-BF-SAZERAC-2026,proposal,Brown-Forman,BF.B,Sazerac,,unsolicited proposal,cash,spirits,US,14693,proposal_year,2026Q3-005,
PROP-CWY-EQT-2026,proposal,Cleanaway Waste Management,CWY.AX,EQT Infrastructure,EQT,take-private proposal (non-binding),cash,waste management,Australia,,proposal_year,2026Q3-017,
PROP-IEL-BX-2026,proposal,IDP Education,IEL.AX,Blackstone,Blackstone,unsolicited proposal (revised),cash,education services,Australia,,first_event_year,2026Q3-063,id_year_from_first_event
PROP-INA-WARBURG-2026,proposal,Ingenia Communities,INA.AX,Warburg Pincus,Warburg Pincus,unsolicited proposal (revised),cash,residential communities / REIT,Australia,,first_event_year,2026Q3-062,id_year_from_first_event
PROP-KOBAYASHI-CVCNSSK-2026,proposal,Kobayashi Pharmaceutical,,CVC + Nippon Sangyo Suishin Kiko (reported),CVC,take-private talks,,consumer health,Japan,,first_event_year,2026Q3-044,id_year_from_first_event
UNVR-ARGAN-WDP-2026,unverified,Argan (FR),,WDP,,strategic (REIT combination),,logistics REIT,Europe,,first_event_year,2026Q3-010,id_year_from_first_event
UNVR-ATG-MARI-2026,unverified,Ambassador Theatre Group,,MARI Group,,n/d,,live entertainment,UK,,first_event_year,2026Q3-026,id_year_from_first_event
UNVR-OPENROUTER-STRIPE-2026,unverified,OpenRouter (private),,Stripe,,strategic,,AI infrastructure,US,,first_event_year,2026Q3-025,id_year_from_first_event
UNVR-SEAHAWKS-KHOSLA-2026,unverified,Seattle Seahawks,,Khosla family-led group,,control sale,,sports franchise,US,,first_event_year,2026Q3-009,id_year_from_first_event
UNVR-WAKEMED-ATRIUM-2026,unverified,WakeMed (nonprofit),,Atrium Health (Advocate Health),,nonprofit health-system combination,,health systems,US,,unverified_year,2026Q3-038,
